x,p_0
-7.6852,6.38227e-09
-7.60839,7.73244e-09
-7.53159,9.35392e-09
-7.45478,1.12981e-08
-7.37798,1.36257e-08
-7.30118,1.64077e-08
-7.22437,1.97276e-08
-7.14757,2.36832e-08
-7.07076,2.83887e-08
-6.99396,3.39776e-08
-6.91715,4.06051e-08
-6.84035,4.84519e-08
-6.76355,5.77278e-08
-6.68674,6.86756e-08
-6.60994,8.15765e-08
-6.53313,9.6755e-08
-6.45633,1.14585e-07
-6.37953,1.35497e-07
-6.30272,1.59986e-07
-6.22592,1.88618e-07
-6.14911,2.22041e-07
-6.07231,2.60998e-07
-5.9955,3.06333e-07
-5.9187,3.59008e-07
-5.8419,4.20116e-07
-5.76509,4.90898e-07
-5.68829,5.72758e-07
-5.61148,6.67282e-07
-5.53468,7.76262e-07
-5.45788,9.01715e-07
-5.38107,1.04591e-06
-5.30427,1.21138e-06
-5.22746,1.40099e-06
-5.15066,1.61792e-06
-5.07385,1.86573e-06
-4.99705,2.14838e-06
-4.92025,2.47027e-06
-4.84344,2.83631e-06
-4.76664,3.25191e-06
-4.68983,3.72307e-06
-4.61303,4.25641e-06
-4.53623,4.85923e-06
-4.45942,5.53956e-06
-4.38262,6.30622e-06
-4.30581,7.16887e-06
-4.22901,8.13809e-06
-4.1522,9.22542e-06
-4.0754,1.04435e-05
-3.9986,1.18059e-05
-3.92179,1.33277e-05
-3.84499,1.50249e-05
-3.76818,1.69151e-05
-3.69138,1.9017e-05
-3.61458,2.13512e-05
-3.53777,2.39394e-05
-3.46097,2.68053e-05
-3.38416,2.9974e-05
-3.30736,3.34728e-05
-3.23055,3.73305e-05
-3.15375,4.1578e-05
-3.07695,4.62481e-05
-3.00014,5.13759e-05
-2.92334,5.69983e-05
-2.84653,6.31548e-05
-2.76973,6.98868e-05
-2.69293,7.72383e-05
-2.61612,8.52556e-05
-2.53932,9.39872e-05
-2.46251,0.000103484
-2.38571,0.000113801
-2.3089,0.000124992
-2.2321,0.000137117
-2.1553,0.000150238
-2.07849,0.000164417
-2.00169,0.000179721
-1.92488,0.000196218
-1.84808,0.000213981
-1.77128,0.000233082
-1.69447,0.000253598
-1.61767,0.000275608
-1.54086,0.000299192
-1.46406,0.000324433
-1.38725,0.000351417
-1.31045,0.000380231
-1.23365,0.000410966
-1.15684,0.000443711
-1.08004,0.000478561
-1.00323,0.000515611
-0.926429,0.000554958
-0.849625,0.000596699
-0.772821,0.000640934
-0.696017,0.000687764
-0.619213,0.000737292
-0.542408,0.000789619
-0.465604,0.00084485
-0.3888,0.000903089
-0.311996,0.000964441
-0.235192,0.00102901
-0.158388,0.0010969
-0.0815834,0.00116823
-0.0047792,0.00124308
0.072025,0.00132157
0.148829,0.00140381
0.225633,0.00148988
0.302437,0.00157991
0.379242,0.00167398
0.456046,0.0017722
0.53285,0.00187466
0.609654,0.00198146
0.686458,0.00209269
0.763263,0.00220844
0.840067,0.0023288
0.916871,0.00245385
0.993675,0.00258367
1.07048,0.00271835
1.14728,0.00285794
1.22409,0.00300253
1.30089,0.00315218
1.3777,0.00330694
1.4545,0.00346687
1.5313,0.00363202
1.60811,0.00380242
1.68491,0.00397813
1.76172,0.00415916
1.83852,0.00434554
1.91533,0.00453729
1.99213,0.00473441
2.06893,0.00493691
2.14574,0.00514478
2.22254,0.00535801
2.29935,0.00557658
2.37615,0.00580045
2.45295,0.00602959
2.52976,0.00626396
2.60656,0.0065035
2.68337,0.00674814
2.76017,0.00699782
2.83698,0.00725245
2.91378,0.00751196
2.99058,0.00777624
3.06739,0.00804519
3.14419,0.0083187
3.221,0.00859666
3.2978,0.00887894
3.3746,0.00916541
3.45141,0.00945594
3.52821,0.00975037
3.60502,0.0100486
3.68182,0.0103504
3.75863,0.0106557
3.83543,0.0109642
3.91223,0.0112759
3.98904,0.0115906
4.06584,0.0119081
4.14265,0.0122282
4.21945,0.0125508
4.29625,0.0128757
4.37306,0.0132028
4.44986,0.0135318
4.52667,0.0138627
4.60347,0.0141952
4.68028,0.0145293
4.75708,0.0148647
4.83388,0.0152013
4.91069,0.015539
4.98749,0.0158777
5.0643,0.0162171
5.1411,0.0165573
5.2179,0.0168981
5.29471,0.0172394
5.37151,0.0175811
5.44832,0.0179232
5.52512,0.0182655
5.60193,0.0186079
5.67873,0.0189505
5.75553,0.0192931
5.83234,0.0196358
5.90914,0.0199785
5.98595,0.0203211
6.06275,0.0206637
6.13955,0.0210063
6.21636,0.0213488
6.29316,0.0216913
6.36997,0.0220337
6.44677,0.0223762
6.52358,0.0227186
6.60038,0.0230611
6.67718,0.0234037
6.75399,0.0237464
6.83079,0.0240893
6.9076,0.0244324
6.9844,0.0247757
7.0612,0.0251193
7.13801,0.0254633
7.21481,0.0258077
7.29162,0.0261525
7.36842,0.0264978
7.44523,0.0268436
7.52203,0.02719
7.59883,0.027537
7.67564,0.0278845
7.75244,0.0282328
7.82925,0.0285816
7.90605,0.0289312
7.98285,0.0292814
8.05966,0.0296322
8.13646,0.0299837
8.21327,0.0303358
8.29007,0.0306885
8.36688,0.0310417
8.44368,0.0313954
8.52048,0.0317496
8.59729,0.0321041
8.67409,0.0324589
8.7509,0.0328138
8.8277,0.0331689
8.9045,0.0335239
8.98131,0.0338787
9.05811,0.0342333
9.13492,0.0345875
9.21172,0.034941
9.28853,0.0352938
9.36533,0.0356457
9.44213,0.0359965
9.51894,0.036346
9.59574,0.0366941
9.67255,0.0370404
9.74935,0.0373849
9.82615,0.0377272
9.90296,0.0380672
9.97976,0.0384046
10.0566,0.0387391
10.1334,0.0390706
10.2102,0.0393988
10.287,0.0397234
10.3638,0.0400442
10.4406,0.0403608
10.5174,0.0406731
10.5942,0.0409808
10.671,0.0412836
10.7478,0.0415812
10.8246,0.0418734
10.9014,0.0421598
10.9782,0.0424403
11.055,0.0427146
11.1318,0.0429823
11.2086,0.0432433
11.2854,0.0434972
11.3622,0.0437439
11.439,0.043983
11.5158,0.0442144
11.5927,0.0444378
11.6695,0.0446529
11.7463,0.0448596
11.8231,0.0450577
11.8999,0.0452469
11.9767,0.0454271
12.0535,0.0455981
12.1303,0.0457598
12.2071,0.0459119
12.2839,0.0460545
12.3607,0.0461874
12.4375,0.0463105
12.5143,0.0464237
12.5911,0.046527
12.6679,0.0466204
12.7447,0.0467038
12.8215,0.0467773
12.8983,0.0468409
12.9751,0.0468946
13.0519,0.0469386
13.1287,0.0469729
13.2055,0.0469977
13.2823,0.0470131
13.3591,0.0470193
13.436,0.0470165
13.5128,0.047005
13.5896,0.0469848
13.6664,0.0469564
13.7432,0.04692
13.82,0.0468758
13.8968,0.0468242
13.9736,0.0467656
14.0504,0.0467002
14.1272,0.0466285
14.204,0.0465508
14.2808,0.0464674
14.3576,0.0463788
14.4344,0.0462853
14.5112,0.0461874
14.588,0.0460853
14.6648,0.0459797
14.7416,0.0458707
14.8184,0.0457588
14.8952,0.0456443
14.972,0.0455277
15.0488,0.0454093
15.1256,0.0452894
15.2024,0.0451684
15.2793,0.0450466
15.3561,0.0449242
15.4329,0.0448016
15.5097,0.0446789
15.5865,0.0445565
15.6633,0.0444346
15.7401,0.0443133
15.8169,0.0441929
15.8937,0.0440735
15.9705,0.0439552
16.0473,0.0438381
16.1241,0.0437223
16.2009,0.043608
16.2777,0.0434951
16.3545,0.0433837
16.4313,0.0432739
16.5081,0.0431655
16.5849,0.0430587
16.6617,0.0429534
16.7385,0.0428496
16.8153,0.0427472
16.8921,0.0426462
16.9689,0.0425465
17.0457,0.0424481
17.1226,0.0423509
17.1994,0.0422548
17.2762,0.0421598
17.353,0.0420659
17.4298,0.0419728
17.5066,0.0418806
17.5834,0.0417893
17.6602,0.0416986
17.737,0.0416087
17.8138,0.0415194
17.8906,0.0414307
17.9674,0.0413425
18.0442,0.0412547
18.121,0.0411674
18.1978,0.0410805
18.2746,0.040994
18.3514,0.0409078
18.4282,0.0408218
18.505,0.0407361
18.5818,0.0406505
18.6586,0.0405651
18.7354,0.0404799
18.8122,0.0403946
18.889,0.0403094
18.9659,0.0402241
19.0427,0.0401386
19.1195,0.040053
19.1963,0.039967
19.2731,0.0398807
19.3499,0.0397939
19.4267,0.0397065
19.5035,0.0396184
19.5803,0.0395294
19.6571,0.0394395
19.7339,0.0393485
19.8107,0.0392562
19.8875,0.0391625
19.9643,0.0390673
20.0411,0.0389703
20.1179,0.0388713
20.1947,0.0387703
20.2715,0.0386669
20.3483,0.0385611
20.4251,0.0384526
20.5019,0.0383413
20.5787,0.0382269
20.6555,0.0381094
20.7323,0.0379884
20.8092,0.0378639
20.886,0.0377356
20.9628,0.0376035
21.0396,0.0374673
21.1164,0.0373269
21.1932,0.0371823
21.27,0.0370332
21.3468,0.0368796
21.4236,0.0367215
21.5004,0.0365586
21.5772,0.036391
21.654,0.0362186
21.7308,0.0360415
21.8076,0.0358595
21.8844,0.0356728
21.9612,0.0354812
22.038,0.035285
22.1148,0.035084
22.1916,0.0348785
22.2684,0.0346685
22.3452,0.0344541
22.422,0.0342355
22.4988,0.0340127
22.5756,0.0337859
22.6525,0.0335554
22.7293,0.0333213
22.8061,0.0330837
22.8829,0.0328429
22.9597,0.0325992
23.0365,0.0323527
23.1133,0.0321037
23.1901,0.0318524
23.2669,0.0315991
23.3437,0.0313441
23.4205,0.0310876
23.4973,0.0308299
23.5741,0.0305712
23.6509,0.030312
23.7277,0.0300524
23.8045,0.0297927
23.8813,0.0295332
23.9581,0.0292742
24.0349,0.029016
24.1117,0.0287588
24.1885,0.028503
24.2653,0.0282487
24.3421,0.0279963
24.4189,0.027746
24.4958,0.0274981
24.5726,0.0272527
24.6494,0.0270102
24.7262,0.0267707
24.803,0.0265344
24.8798,0.0263016
24.9566,0.0260724
25.0334,0.0258469
25.1102,0.0256253
25.187,0.0254078
25.2638,0.0251945
25.3406,0.0249854
25.4174,0.0247806
25.4942,0.0245803
25.571,0.0243844
25.6478,0.024193
25.7246,0.0240061
25.8014,0.0238237
25.8782,0.0236458
25.955,0.0234724
26.0318,0.0233033
26.1086,0.0231386
26.1854,0.0229781
26.2622,0.0228218
26.3391,0.0226695
26.4159,0.0225211
26.4927,0.0223765
26.5695,0.0222355
26.6463,0.022098
26.7231,0.0219639
26.7999,0.0218328
26.8767,0.0217047
26.9535,0.0215794
27.0303,0.0214567
27.1071,0.0213364
27.1839,0.0212183
27.2607,0.0211022
27.3375,0.0209879
27.4143,0.0208753
27.4911,0.0207641
27.5679,0.0206541
27.6447,0.0205452
27.7215,0.0204372
27.7983,0.0203299
27.8751,0.0202231
27.9519,0.0201168
28.0287,0.0200106
28.1055,0.0199046
28.1824,0.0197986
28.2592,0.0196924
28.336,0.0195859
28.4128,0.0194791
28.4896,0.0193718
28.5664,0.0192639
28.6432,0.0191554
28.72,0.0190462
28.7968,0.0189363
28.8736,0.0188255
28.9504,0.0187138
29.0272,0.0186013
29.104,0.0184879
29.1808,0.0183735
29.2576,0.0182581
29.3344,0.0181418
29.4112,0.0180246
29.488,0.0179064
29.5648,0.0177873
29.6416,0.0176673
29.7184,0.0175464
29.7952,0.0174246
29.872,0.017302
29.9488,0.0171786
30.0257,0.0170545
30.1025,0.0169296
30.1793,0.0168041
30.2561,0.016678
30.3329,0.0165512
30.4097,0.016424
30.4865,0.0162963
30.5633,0.0161682
30.6401,0.0160397
30.7169,0.0159109
30.7937,0.0157819
30.8705,0.0156526
30.9473,0.0155232
31.0241,0.0153937
31.1009,0.0152642
31.1777,0.0151348
31.2545,0.0150054
31.3313,0.0148761
31.4081,0.014747
31.4849,0.0146181
31.5617,0.0144895
31.6385,0.0143613
31.7153,0.0142334
31.7921,0.014106
31.869,0.013979
31.9458,0.0138525
32.0226,0.0137265
32.0994,0.0136012
32.1762,0.0134764
32.253,0.0133523
32.3298,0.0132288
32.4066,0.013106
32.4834,0.012984
32.5602,0.0128626
32.637,0.012742
32.7138,0.0126222
