x,p_0
-1279.49,8.74679e-11
-1276.55,1.45101e-10
-1273.62,2.37843e-10
-1270.68,3.85216e-10
-1267.74,6.16475e-10
-1264.8,9.74814e-10
-1261.87,1.52309e-09
-1258.93,2.35138e-09
-1255.99,3.58688e-09
-1253.06,5.40638e-09
-1250.12,8.0518e-09
-1247.18,1.18488e-08
-1244.24,1.72287e-08
-1241.31,2.47529e-08
-1238.37,3.51395e-08
-1235.43,4.92903e-08
-1232.49,6.8316e-08
-1229.56,9.35578e-08
-1226.62,1.266e-07
-1223.68,1.69271e-07
-1220.74,2.23628e-07
-1217.81,2.91923e-07
-1214.87,3.76534e-07
-1211.93,4.79885e-07
-1208.99,6.04318e-07
-1206.06,7.51952e-07
-1203.12,9.24508e-07
-1200.18,1.12312e-06
-1197.24,1.34815e-06
-1194.31,1.59899e-06
-1191.37,1.87392e-06
-1188.43,2.16996e-06
-1185.49,2.48283e-06
-1182.56,2.80697e-06
-1179.62,3.13564e-06
-1176.68,3.46107e-06
-1173.74,3.77477e-06
-1170.81,4.06788e-06
-1167.87,4.33153e-06
-1164.93,4.55735e-06
-1162,4.73786e-06
-1159.06,4.8669e-06
-1156.12,4.93997e-06
-1153.18,4.95453e-06
-1150.25,4.91013e-06
-1147.31,4.80844e-06
-1144.37,4.6532e-06
-1141.43,4.44998e-06
-1138.5,4.20593e-06
-1135.56,3.92934e-06
-1132.62,3.62931e-06
-1129.68,3.31527e-06
-1126.75,2.99663e-06
-1123.81,2.68237e-06
-1120.87,2.3808e-06
-1117.93,2.09937e-06
-1115,1.84447e-06
-1112.06,1.62147e-06
-1109.12,1.43467e-06
-1106.18,1.2874e-06
-1103.25,1.1821e-06
-1100.31,1.12039e-06
-1097.37,1.1032e-06
-1094.43,1.13077e-06
-1091.5,1.2027e-06
-1088.56,1.31792e-06
-1085.62,1.47461e-06
-1082.68,1.67014e-06
-1079.75,1.90097e-06
-1076.81,2.16254e-06
-1073.87,2.44926e-06
-1070.93,2.75447e-06
-1068,3.07052e-06
-1065.06,3.38891e-06
-1062.12,3.70054e-06
-1059.19,3.99597e-06
-1056.25,4.26579e-06
-1053.31,4.50107e-06
-1050.37,4.69374e-06
-1047.44,4.83698e-06
-1044.5,4.92563e-06
-1041.56,4.95642e-06
-1038.62,4.92817e-06
-1035.69,4.8418e-06
-1032.75,4.70035e-06
-1029.81,4.50872e-06
-1026.87,4.27341e-06
-1023.94,4.00215e-06
-1021,3.70347e-06
-1018.06,3.38626e-06
-1015.12,3.05935e-06
-1012.19,2.73107e-06
-1009.25,2.40898e-06
-1006.31,2.09957e-06
-1003.37,1.8081e-06
-1000.44,1.53855e-06
-997.499,1.29358e-06
-994.562,1.07467e-06
-991.624,8.82175e-07
-988.687,7.15537e-07
-985.75,5.73472e-07
-982.812,4.54154e-07
-979.875,3.55402e-07
-976.937,2.74852e-07
-974,2.10094e-07
-971.063,1.58792e-07
-968.125,1.18764e-07
-965.188,8.80479e-08
-962.25,6.49332e-08
-959.313,4.79836e-08
-956.375,3.6041e-08
-953.438,2.82229e-08
-950.501,2.39157e-08
-947.563,2.27673e-08
-944.626,2.4682e-08
-941.688,2.98189e-08
-938.751,3.85945e-08
-935.813,5.16885e-08
-932.876,7.00515e-08
-929.939,9.49107e-08
-927.001,1.27772e-07
-924.064,1.70409e-07
-921.126,2.24845e-07
-918.189,2.93305e-07
-915.251,3.78153e-07
-912.314,4.818e-07
-909.377,6.0658e-07
-906.439,7.546e-07
-903.502,9.2757e-07
-900.564,1.12661e-06
-897.627,1.35207e-06
-894.689,1.60333e-06
-891.752,1.87863e-06
-888.815,2.17498e-06
-885.877,2.48808e-06
-882.94,2.81236e-06
-880.002,3.14104e-06
-877.065,3.46635e-06
-874.128,3.77979e-06
-871.19,4.07249e-06
-868.253,4.33559e-06
-865.315,4.56074e-06
-862.378,4.74047e-06
-859.44,4.86865e-06
-856.503,4.94082e-06
-853.566,4.95447e-06
-850.628,4.90921e-06
-847.691,4.80676e-06
-844.753,4.6509e-06
-841.816,4.44727e-06
-838.878,4.20305e-06
-835.941,3.92661e-06
-833.004,3.62711e-06
-830.066,3.31406e-06
-827.129,2.99691e-06
-824.191,2.68476e-06
-821.254,2.38602e-06
-818.316,2.10821e-06
-815.379,1.85787e-06
-812.442,1.64047e-06
-809.504,1.46044e-06
-806.567,1.32125e-06
-803.629,1.22545e-06
-800.692,1.17479e-06
-797.755,1.17033e-06
-794.817,1.21243e-06
-791.88,1.30086e-06
-788.942,1.43475e-06
-786.005,1.61258e-06
-783.067,1.83216e-06
-780.13,2.09058e-06
-777.193,2.38421e-06
-774.255,2.70874e-06
-771.318,3.05925e-06
-768.38,3.43036e-06
-765.443,3.81642e-06
-762.505,4.2118e-06
-759.568,4.61114e-06
-756.631,5.00968e-06
-753.693,5.40355e-06
-750.756,5.78994e-06
-747.818,6.1673e-06
-744.881,6.5353e-06
-741.943,6.89475e-06
-739.006,7.24733e-06
-736.069,7.59521e-06
-733.131,7.94057e-06
-730.194,8.28507e-06
-727.256,8.62932e-06
-724.319,8.97239e-06
-721.381,9.31145e-06
-718.444,9.64153e-06
-715.507,9.95556e-06
