x,p_0
-0.000145978,0.000110401
-0.000144932,0.000134891
-0.000143886,0.000164598
-0.000142841,0.000200584
-0.000141795,0.000244118
-0.000140749,0.000296711
-0.000139703,0.000360164
-0.000138657,0.000436615
-0.000137612,0.000528603
-0.000136566,0.000639136
-0.00013552,0.000771775
-0.000134474,0.000930724
-0.000133428,0.00112095
-0.000132383,0.00134829
-0.000131337,0.00161963
-0.000130291,0.00194305
-0.000129245,0.00232803
-0.000128199,0.00278566
-0.000127154,0.00332891
-0.000126108,0.00397296
-0.000125062,0.00473547
-0.000124016,0.00563701
-0.00012297,0.0067015
-0.000121925,0.00795671
-0.000120879,0.00943483
-0.000119833,0.0111731
-0.000118787,0.0132145
-0.000117741,0.0156088
-0.000116696,0.0184132
-0.00011565,0.0216935
-0.000114604,0.0255253
-0.000113558,0.0299954
-0.000112512,0.035203
-0.000111467,0.0412618
-0.000110421,0.0483015
-0.000109375,0.0564698
-0.000108329,0.0659351
-0.000107284,0.0768886
-0.000106238,0.0895474
-0.000105192,0.104158
-0.000104146,0.120997
-0.0001031,0.14038
-0.000102055,0.162662
-0.000101009,0.188241
-9.99629e-05,0.217567
-9.89171e-05,0.251143
-9.78713e-05,0.289533
-9.68256e-05,0.333372
-9.57798e-05,0.383363
-9.4734e-05,0.440297
-9.36882e-05,0.505049
-9.26424e-05,0.578597
-9.15966e-05,0.662024
-9.05508e-05,0.756532
-8.9505e-05,0.863451
-8.84592e-05,0.984249
-8.74134e-05,1.12055
-8.63676e-05,1.27414
-8.53218e-05,1.44697
-8.4276e-05,1.64122
-8.32302e-05,1.85924
-8.21844e-05,2.10361
-8.11386e-05,2.37716
-8.00928e-05,2.68298
-7.9047e-05,3.02442
-7.80012e-05,3.40513
-7.69554e-05,3.82906
-7.59096e-05,4.3005
-7.48638e-05,4.8241
-7.3818e-05,5.40486
-7.27722e-05,6.04818
-7.17264e-05,6.75987
-7.06807e-05,7.54615
-6.96349e-05,8.41374
-6.85891e-05,9.36977
-6.75433e-05,10.4219
-6.64975e-05,11.5783
-6.54517e-05,12.8476
-6.44059e-05,14.2391
-6.33601e-05,15.7625
-6.23143e-05,17.4282
-6.12685e-05,19.2471
-6.02227e-05,21.2309
-5.91769e-05,23.3915
-5.81311e-05,25.7418
-5.70853e-05,28.2952
-5.60395e-05,31.0655
-5.49937e-05,34.0676
-5.39479e-05,37.3164
-5.29021e-05,40.828
-5.18563e-05,44.6186
-5.08105e-05,48.7052
-4.97647e-05,53.1055
-4.87189e-05,57.8375
-4.76731e-05,62.9197
-4.66273e-05,68.3712
-4.55816e-05,74.2115
-4.45358e-05,80.4605
-4.349e-05,87.1384
-4.24442e-05,94.2658
-4.13984e-05,101.863
-4.03526e-05,109.952
-3.93068e-05,118.553
-3.8261e-05,127.688
-3.72152e-05,137.377
-3.61694e-05,147.641
-3.51236e-05,158.503
-3.40778e-05,169.981
-3.3032e-05,182.096
-3.19862e-05,194.869
-3.09404e-05,208.319
-2.98946e-05,222.463
-2.88488e-05,237.322
-2.7803e-05,252.911
-2.67572e-05,269.247
-2.57114e-05,286.345
-2.46656e-05,304.221
-2.36198e-05,322.887
-2.2574e-05,342.355
-2.15282e-05,362.635
-2.04824e-05,383.739
-1.94367e-05,405.672
-1.83909e-05,428.441
-1.73451e-05,452.052
-1.62993e-05,476.507
-1.52535e-05,501.807
-1.42077e-05,527.951
-1.31619e-05,554.939
-1.21161e-05,582.765
-1.10703e-05,611.423
-1.00245e-05,640.906
-8.97869e-06,671.204
-7.9329e-06,702.304
-6.8871e-06,734.194
-5.84131e-06,766.858
-4.79551e-06,800.278
-3.74971e-06,834.436
-2.70392e-06,869.31
-1.65812e-06,904.877
-6.12327e-07,941.113
4.33469e-07,977.993
1.47926e-06,1015.49
2.52506e-06,1053.57
3.57086e-06,1092.21
4.61665e-06,1131.37
5.66245e-06,1171.02
6.70824e-06,1211.13
7.75404e-06,1251.66
8.79984e-06,1292.57
9.84563e-06,1333.83
1.08914e-05,1375.41
1.19372e-05,1417.25
1.2983e-05,1459.33
1.40288e-05,1501.61
1.50746e-05,1544.04
1.61204e-05,1586.58
1.71662e-05,1629.21
1.8212e-05,1671.87
1.92578e-05,1714.52
2.03036e-05,1757.14
2.13494e-05,1799.67
2.23952e-05,1842.09
2.3441e-05,1884.35
2.44868e-05,1926.42
2.55326e-05,1968.26
2.65784e-05,2009.84
2.76242e-05,2051.12
2.867e-05,2092.07
2.97158e-05,2132.65
3.07616e-05,2172.84
3.18073e-05,2212.6
3.28531e-05,2251.9
3.38989e-05,2290.72
3.49447e-05,2329.04
3.59905e-05,2366.81
3.70363e-05,2404.03
3.80821e-05,2440.66
3.91279e-05,2476.68
4.01737e-05,2512.08
4.12195e-05,2546.84
4.22653e-05,2580.93
4.33111e-05,2614.34
4.43569e-05,2647.05
4.54027e-05,2679.06
4.64485e-05,2710.34
4.74943e-05,2740.88
4.85401e-05,2770.68
4.95859e-05,2799.73
5.06317e-05,2828
5.16775e-05,2855.51
5.27233e-05,2882.24
5.37691e-05,2908.18
5.48149e-05,2933.34
5.58607e-05,2957.7
5.69064e-05,2981.27
5.79522e-05,3004.04
5.8998e-05,3026.02
6.00438e-05,3047.2
6.10896e-05,3067.58
6.21354e-05,3087.17
6.31812e-05,3105.97
6.4227e-05,3123.98
6.52728e-05,3141.2
6.63186e-05,3157.65
6.73644e-05,3173.32
6.84102e-05,3188.23
6.9456e-05,3202.37
7.05018e-05,3215.77
7.15476e-05,3228.42
7.25934e-05,3240.33
7.36392e-05,3251.51
7.4685e-05,3261.98
7.57308e-05,3271.75
7.67766e-05,3280.82
7.78224e-05,3289.21
7.88682e-05,3296.92
7.9914e-05,3303.99
8.09598e-05,3310.41
8.20055e-05,3316.2
8.30513e-05,3321.38
8.40971e-05,3325.96
8.51429e-05,3329.96
8.61887e-05,3333.39
8.72345e-05,3336.27
8.82803e-05,3338.63
8.93261e-05,3340.46
9.03719e-05,3341.81
9.14177e-05,3342.67
9.24635e-05,3343.08
9.35093e-05,3343.05
9.45551e-05,3342.6
9.56009e-05,3341.75
9.66467e-05,3340.52
9.76925e-05,3338.93
9.87383e-05,3337.01
9.97841e-05,3334.76
0.00010083,3332.22
0.000101876,3329.4
0.000102921,3326.33
0.000103967,3323.02
0.000105013,3319.49
0.000106059,3315.77
0.000107105,3311.87
0.00010815,3307.81
0.000109196,3303.61
0.000110242,3299.3
0.000111288,3294.88
0.000112334,3290.37
0.000113379,3285.8
0.000114425,3281.18
0.000115471,3276.51
0.000116517,3271.83
0.000117563,3267.14
0.000118608,3262.45
0.000119654,3257.77
0.0001207,3253.12
0.000121746,3248.51
0.000122792,3243.94
0.000123837,3239.42
0.000124883,3234.96
0.000125929,3230.56
0.000126975,3226.23
0.000128021,3221.96
0.000129066,3217.77
0.000130112,3213.65
0.000131158,3209.61
0.000132204,3205.63
0.00013325,3201.72
0.000134295,3197.87
0.000135341,3194.08
0.000136387,3190.34
0.000137433,3186.64
0.000138479,3182.98
0.000139524,3179.34
0.00014057,3175.72
0.000141616,3172.1
0.000142662,3168.48
0.000143708,3164.84
0.000144753,3161.16
0.000145799,3157.44
0.000146845,3153.66
0.000147891,3149.8
0.000148936,3145.86
0.000149982,3141.81
0.000151028,3137.64
0.000152074,3133.33
0.00015312,3128.88
0.000154165,3124.26
0.000155211,3119.46
0.000156257,3114.47
0.000157303,3109.27
0.000158349,3103.85
0.000159394,3098.2
0.00016044,3092.3
0.000161486,3086.14
0.000162532,3079.72
0.000163578,3073.02
0.000164623,3066.04
0.000165669,3058.77
0.000166715,3051.19
0.000167761,3043.31
0.000168807,3035.13
0.000169852,3026.63
0.000170898,3017.82
0.000171944,3008.7
0.00017299,2999.27
0.000174036,2989.53
0.000175081,2979.48
