mode likelihood,mean likelihood, true likelihood
-5.36591,-5.27791,-5.37421
-5.31964,-5.41235,-5.37421
-5.47939,-5.29795,-5.37421
-5.36792,-5.35596,-5.37421
-5.40782,-5.42086,-5.37421
-5.39561,-5.31431,-5.37421
-5.3712,-5.24731,-5.37421
-5.32731,-5.26176,-5.37421
-5.28241,-5.26962,-5.37421
-5.35861,-5.31438,-5.37421
-5.29505,-5.35569,-5.37421
-5.2587,-5.41388,-5.37421
-5.39396,-5.39193,-5.37421
-5.28801,-5.30141,-5.37421
-5.29793,-5.34862,-5.37421
-5.35045,-5.31788,-5.37421
-5.29801,-5.3637,-5.37421
-5.30485,-5.3616,-5.37421
-5.29568,-5.21889,-5.37421
-5.22654,-5.33319,-5.37421
-5.2797,-5.3625,-5.37421
-5.29203,-5.3693,-5.37421
-5.24849,-5.34718,-5.37421
-5.34401,-5.30555,-5.37421
-5.34909,-5.30856,-5.37421
-5.30586,-5.30563,-5.37421
-5.33945,-5.36238,-5.37421
-5.26835,-5.28003,-5.37421
-5.41106,-5.3335,-5.37421
-5.34824,-5.297,-5.37421
-5.28165,-5.38062,-5.37421
-5.33523,-5.23604,-5.37421
-5.37716,-5.29534,-5.37421
-5.34526,-5.28962,-5.37421
-5.35934,-5.35106,-5.37421
-5.38622,-5.31487,-5.37421
-5.30599,-5.24274,-5.37421
-5.41981,-5.28652,-5.37421
-5.3078,-5.25412,-5.37421
-5.40553,-5.2841,-5.37421
-5.36055,-5.31674,-5.37421
-5.34618,-5.37193,-5.37421
-5.3697,-5.3232,-5.37421
-5.42072,-5.33386,-5.37421
-5.34083,-5.30203,-5.37421
-5.32901,-5.38181,-5.37421
-5.37217,-5.25806,-5.37421
-5.3365,-5.38602,-5.37421
-5.37788,-5.3614,-5.37421
-5.2836,-5.38141,-5.37421
-5.43825,-5.46151,-5.37421
-5.36713,-5.38772,-5.37421
-5.35097,-5.37486,-5.37421
-5.28694,-5.28875,-5.37421
-5.249,-5.36129,-5.37421
-5.37106,-5.38552,-5.37421
-5.34643,-5.32723,-5.37421
-5.43884,-5.30728,-5.37421
-5.28036,-5.35707,-5.37421
-5.31588,-5.34077,-5.37421
-5.42694,-5.31512,-5.37421
-5.36261,-5.32846,-5.37421
-5.3285,-5.40058,-5.37421
-5.36667,-5.41377,-5.37421
-5.325,-5.48315,-5.37421
-5.39339,-5.24824,-5.37421
-5.36534,-5.36531,-5.37421
-5.30927,-5.35925,-5.37421
-5.30344,-5.36091,-5.37421
-5.32412,-5.29406,-5.37421
-5.29612,-5.42652,-5.37421
-5.27919,-5.32465,-5.37421
-5.32052,-5.36878,-5.37421
-5.34914,-5.34853,-5.37421
-5.42055,-5.30306,-5.37421
-5.41092,-5.32524,-5.37421
-5.32698,-5.30656,-5.37421
-5.3241,-5.43843,-5.37421
-5.42521,-5.46255,-5.37421
-5.39693,-5.36074,-5.37421
-5.38517,-5.30969,-5.37421
-5.39737,-5.38417,-5.37421
-5.38145,-5.3212,-5.37421
-5.3352,-5.30373,-5.37421
-5.34561,-5.45603,-5.37421
-5.35168,-5.36419,-5.37421
-5.33366,-5.3371,-5.37421
-5.34836,-5.43891,-5.37421
-5.37208,-5.3793,-5.37421
-5.26837,-5.29806,-5.37421
-5.42741,-5.37465,-5.37421
-5.31946,-5.36562,-5.37421
-5.27759,-5.39327,-5.37421
-5.35786,-5.33004,-5.37421
-5.33572,-5.35322,-5.37421
-5.38312,-5.32252,-5.37421
-5.36678,-5.44485,-5.37421
-5.37069,-5.41444,-5.37421
-5.29369,-5.29497,-5.37421
-5.32237,-5.3775,-5.37421
-5.33588,-5.39575,-5.37421
-5.37046,-5.3835,-5.37421
-5.30264,-5.35939,-5.37421
-5.32954,-5.35582,-5.37421
-5.5349,-5.40582,-5.37421
-5.34262,-5.40554,-5.37421
-5.29081,-5.21859,-5.37421
-5.3022,-5.38407,-5.37421
-5.33361,-5.34476,-5.37421
-5.23686,-5.33198,-5.37421
-5.28965,-5.4117,-5.37421
-5.34436,-5.34839,-5.37421
-5.3063,-5.30699,-5.37421
-5.22881,-5.35428,-5.37421
-5.3315,-5.38005,-5.37421
-5.33619,-5.34961,-5.37421
-5.25599,-5.34256,-5.37421
-5.27641,-5.39148,-5.37421
-5.36764,-5.29925,-5.37421
-5.25206,-5.44178,-5.37421
-5.30313,-5.34815,-5.37421
-5.34653,-5.33624,-5.37421
-5.35714,-5.32497,-5.37421
-5.21854,-5.34764,-5.37421
-5.30114,-5.33043,-5.37421
-5.39626,-5.32598,-5.37421
-5.42671,-5.36811,-5.37421
-5.43428,-5.38579,-5.37421
-5.33496,-5.36769,-5.37421
-5.46247,-5.47158,-5.37421
-5.31018,-5.45352,-5.37421
-5.41053,-5.25766,-5.37421
-5.30911,-5.38369,-5.37421
-5.29956,-5.25599,-5.37421
-5.34527,-5.29098,-5.37421
-5.24739,-5.33608,-5.37421
-5.32977,-5.29489,-5.37421
-5.35299,-5.38223,-5.37421
-5.31502,-5.30482,-5.37421
-5.23577,-5.46216,-5.37421
-5.38255,-5.32671,-5.37421
-5.28627,-5.34619,-5.37421
-5.33609,-5.33596,-5.37421
-5.40032,-5.42721,-5.37421
-5.34319,-5.35891,-5.37421
-5.3821,-5.38406,-5.37421
-5.39412,-5.3164,-5.37421
-5.25865,-5.26686,-5.37421
-5.37222,-5.40081,-5.37421
-5.24097,-5.26823,-5.37421
-5.36767,-5.41041,-5.37421
-5.36151,-5.33028,-5.37421
-5.29052,-5.39125,-5.37421
-5.24439,-5.34061,-5.37421
-5.24371,-5.4029,-5.37421
