nof_samples,trace_0
420,-105.6
421,-105.111
422,-104.101
423,-103.666
424,-103.47
425,-102.329
426,-101.885
427,-102.993
428,-102.771
429,-102.815
430,-102.674
431,-102.655
432,-102.37
433,-102.889
434,-103.407
435,-103.138
436,-101.912
437,-101.924
438,-101.449
439,-102.031
440,-102.288
441,-102.457
442,-102.575
443,-102.564
444,-102.831
445,-102.697
446,-102.32
447,-101.779
448,-101.683
449,-101.723
450,-102.265
451,-101.005
452,-100.514
453,-100.396
454,-100.3
455,-100.292
456,-100.29
457,-100.281
458,-100.274
459,-100.265
460,-100.205
461,-100.2
462,-100.182
463,-100.154
464,-100.081
465,-100.048
466,-100.099
467,-99.961
468,-100.896
469,-101.217
470,-101.35
471,-101.221
472,-101.263
473,-101.399
474,-101.486
475,-101.668
476,-101.499
477,-101.528
478,-101.637
479,-101.44
480,-101.482
481,-101.541
482,-99.54
483,-98.7828
484,-98.5539
485,-98.5393
486,-98.2851
487,-98.207
488,-98.3122
489,-98.4216
490,-98.3618
491,-98.4437
492,-98.5099
493,-98.6925
494,-98.841
495,-98.6921
496,-100.259
497,-100.842
498,-101.105
499,-101.108
500,-101.029
501,-100.957
502,-101.075
503,-100.953
504,-100.824
505,-101.161
506,-101.189
507,-101.247
508,-101.466
509,-101.41
510,-101.359
511,-101.507
512,-102.63
513,-103.468
514,-103.983
515,-103.423
516,-103.095
517,-103.286
518,-103.414
519,-103.165
520,-103.385
521,-102.745
522,-103.242
523,-102.942
524,-103.18
525,-102.674
526,-102.744
527,-102.8
528,-100.866
529,-100.284
530,-100.126
531,-100.106
532,-100.135
533,-100.129
534,-100.109
535,-100.11
536,-100.104
537,-100.133
538,-100.116
539,-100.147
540,-100.166
541,-100.145
542,-100.135
543,-100.117
544,-100.084
545,-99.8526
546,-99.8262
547,-99.833
548,-99.8189
549,-99.8152
550,-99.8174
551,-99.7899
552,-99.7707
553,-99.7772
554,-99.8261
555,-99.8233
556,-99.8001
557,-99.7667
558,-99.836
559,-99.4014
560,-99.2941
561,-99.1809
562,-99.0753
563,-98.4897
564,-98.5673
565,-98.6801
566,-98.5175
567,-98.6136
568,-98.669
569,-98.7344
570,-98.6327
571,-98.6518
572,-98.8148
573,-98.7651
574,-97.9575
575,-99.5894
576,-99.7638
577,-99.7919
578,-99.8063
579,-99.7986
580,-99.7977
581,-99.7973
582,-99.788
583,-99.7856
584,-99.7865
585,-99.7832
586,-99.7885
587,-99.7828
588,-99.7848
589,-99.7652
590,-99.7582
591,-99.7603
592,-99.2275
593,-99.1016
594,-98.9842
595,-98.9442
596,-98.8816
597,-98.9257
598,-98.9726
599,-98.9961
600,-99.0852
601,-99.0378
602,-98.9864
603,-98.9194
604,-98.9502
605,-98.9308
606,-98.9305
607,-98.9717
608,-98.9692
609,-98.4237
610,-98.0835
611,-96.5576
612,-95.1323
613,-94.4003
614,-93.9568
615,-93.6251
616,-93.5524
617,-93.5087
618,-94.0015
619,-93.8464
620,-93.9397
621,-94.1038
622,-94.2597
623,-95.8469
624,-96.2731
625,-96.7163
626,-96.7829
627,-96.9826
628,-97.291
629,-97.5294
