time,value
0,0.0046243
202.02,2.92543e-149
404.04,3.71676e-40
606.061,2.42531e-07
808.081,1.68343e-192
1010.1,1.08549e-70
1212.12,7.62516e-06
1414.14,6.93828e-118
1616.16,0
1818.18,0.00549294
2020.2,0.0046243
2222.22,3.75984e-26
2424.24,3.1032e-86
2626.26,2.50364e-149
2828.28,0
3030.3,0.000922335
3232.32,0.00698818
3434.34,0.00462456
3636.36,0.0046243
3838.38,0.00051024
4040.4,0.0046243
4242.42,0
4444.44,3.67775e-282
4646.46,0
4848.48,0.00462205
5050.51,0.00464518
5252.53,0
5454.55,0.004618
5656.57,0.00462489
5858.59,0.0046243
6060.61,1.41362e-67
6262.63,1.0818e-38
6464.65,1.95932e-171
6666.67,8.85411e-158
6868.69,0
7070.71,2.07249e-162
7272.73,0
7474.75,4.17107e-05
7676.77,0
7878.79,6.45335e-154
8080.81,3.89423e-05
8282.83,3.75441e-49
8484.85,7.39338e-201
8686.87,0.0046683
8888.89,0.0046243
9090.91,1.10026e-107
9292.93,4.37261e-08
9494.95,3.79479e-221
9696.97,0.00462487
9898.99,0.0046339
10101,1.78933e-159
10303,1.28283e-77
10505.1,0.00479306
10707.1,0.0046243
10909.1,0.00460051
11111.1,9.46047e-22
11313.1,0
11515.2,1.96592e-13
11717.2,2.6643e-133
11919.2,0
12121.2,0
12323.2,6.20754e-29
12525.3,0
12727.3,0.00287187
12929.3,1.23257e-275
13131.3,0.00462391
13333.3,0.0046243
13535.4,6.07463e-33
13737.4,9.66772e-205
13939.4,0.0110378
14141.4,0.0046243
14343.4,0.0046243
14545.5,1.64175e-244
14747.5,3.44639e-298
14949.5,2.87298e-111
15151.5,0.00459081
15353.5,0.0046243
15555.6,0.00526638
15757.6,0.0046243
15959.6,9.88548e-31
16161.6,0
16363.6,8.51719e-233
16565.7,0.00464596
16767.7,0.0046243
16969.7,9.96411e-07
17171.7,0.00462443
17373.7,2.12001e-80
17575.8,8.45346e-173
17777.8,1.84722e-10
17979.8,2.60749e-54
18181.8,0
18383.8,0.00688794
18585.9,0.00473713
18787.9,0.0046243
18989.9,0
19191.9,2.56847e-05
19393.9,4.89666e-43
19596,3.34347e-205
19798,0.00680515
20000,0.00462454
